Eubacterium ruminantium	0.7851	0.7642	0.01886	1.108
Eubacterium coprostanoligenes	0.7315	0.7659	0.01826	1.884
Eubacterium sulci	0.7715	0.7646	0.01917	0.3599
Eubacterium angustum	0.7765	0.7644	0.01910	0.6335
Eubacterium limosum	0.7700	0.7646	0.01919	0.2814
Eubacterium rectale	0.7747	0.7645	0.01913	0.5332
Eubacterium dolichum	0.7302	0.7659	0.01818	1.964
Eubacterium hadrum	0.7919	0.7640	0.01859	1.501
Eubacterium ventriosum	0.7754	0.7645	0.01912	0.5701
Eubacterium combesii	0.7666	0.7648	0.01921	0.09370
Eubacterium multiforme	0.7709	0.7646	0.01918	0.3285
Eubacterium brachy	0.7671	0.7647	0.01921	0.1249
Eubacterium minutum	0.7706	0.7646	0.01918	0.3128
Eubacterium infirmum	0.7652	0.7648	0.01921	0.02082
Eubacterium saphenum	0.7704	0.7646	0.01918	0.3024
Eubacterium pyruvativorans	0.7574	0.7650	0.01916	0.3967
Eubacterium tenue	0.7669	0.7647	0.01921	0.1145
Eubacterium budayi	0.7660	0.7648	0.01921	0.06247
Eubacterium nodatum	0.7412	0.7655	0.01874	1.297
Eubacterium hallii	0.7847	0.7642	0.01888	1.086
Eubacterium cellulosolvens	0.7729	0.7646	0.01916	0.4332
Eubacterium callanderi	0.7678	0.7647	0.01920	0.1615
Eubacterium yurii subsp. yurii	0.7745	0.7645	0.01913	0.5227
Eubacterium yurii subsp. margaretiae	0.7555	0.7651	0.01914	0.5016
Eubacterium eligens	0.7864	0.7641	0.01882	1.185
Eubacterium oxidoreducens	0.7860	0.7641	0.01883	1.163
Eubacterium siraeum	0.7503	0.7653	0.01903	0.7882
Eubacterium uniforme	0.7669	0.7647	0.01921	0.1145
Eubacterium yurii subsp. schtitka	0.7145	0.7664	0.01696	3.060
Eubacterium barkeri	0.7986	0.7638	0.01823	1.909
Eubacterium tortuosum	0.7300	0.7659	0.01817	1.976
Eubacterium nitritogenes	0.7594	0.7650	0.01919	0.2918
Eubacterium xylanophilum	0.7421	0.7655	0.01877	1.247
