Deinococcus frigens	0.8741	0.8708	0.01924	0.1715
Deinococcus depolymerans	0.8923	0.8705	0.01906	1.144
Deinococcus aetherius	0.8474	0.8712	0.01903	1.251
Deinococcus aquaticus	0.8970	0.8705	0.01897	1.397
Deinococcus murrayi	0.8709	0.8709	0.01925	0E+1
Deinococcus soli	0.8975	0.8705	0.01896	1.424
Deinococcus radiotolerans	0.8906	0.8706	0.01909	1.048
Deinococcus deserti	0.8899	0.8706	0.01910	1.010
Deinococcus sedimenti	0.8931	0.8705	0.01905	1.186
Deinococcus claudionis	0.8705	0.8709	0.01925	0.02078
Deinococcus cellulosilyticus	0.8293	0.8715	0.01854	2.276
Deinococcus radioresistens	0.8784	0.8708	0.01923	0.3952
Deinococcus metallilatus	0.8477	0.8712	0.01903	1.235
Deinococcus maricopensis	0.8498	0.8712	0.01907	1.122
Deinococcus yunweiensis	0.8665	0.8709	0.01924	0.2287
Deinococcus puniceus	0.8719	0.8709	0.01925	0.05195
Deinococcus misasensis	0.8267	0.8715	0.01845	2.428
Deinococcus yavapaiensis	0.8313	0.8715	0.01861	2.160
Deinococcus sonorensis	0.8661	0.8709	0.01924	0.2495
Deinococcus roseus	0.8236	0.8716	0.01833	2.619
Deinococcus saxicola	0.8856	0.8706	0.01916	0.7829
Deinococcus citri	0.8838	0.8707	0.01918	0.6830
Deinococcus aerolatus	0.8819	0.8707	0.01920	0.5833
Deinococcus ficus	0.8876	0.8706	0.01914	0.8882
Deinococcus indicus	0.8918	0.8706	0.01907	1.112
Deinococcus metalli	0.8772	0.8708	0.01923	0.3328
Deinococcus carri	0.8722	0.8709	0.01925	0.06753
Deinococcus ruber	0.8647	0.8710	0.01923	0.3276
Deinococcus humi	0.8790	0.8707	0.01922	0.4318
Deinococcus proteolyticus	0.8716	0.8709	0.01925	0.03636
Deinococcus peraridilitoris	0.8429	0.8713	0.01893	1.500
Deinococcus knuensis	0.8966	0.8705	0.01898	1.375
Deinococcus saudiensis	0.8995	0.8704	0.01892	1.538
Deinococcus radiopugnans	0.8808	0.8707	0.01921	0.5258
Deinococcus navajonensis	0.8883	0.8706	0.01913	0.9252
Deinococcus actinosclerus	0.8953	0.8705	0.01901	1.305
Deinococcus swuensis	0.8694	0.8709	0.01925	0.07792
Deinococcus hopiensis	0.8832	0.8707	0.01919	0.6514
Deinococcus arenae	0.8926	0.8705	0.01906	1.159
Deinococcus alpinitundrae	0.8519	0.8712	0.01910	1.010
Deinococcus hohokamensis	0.8831	0.8707	0.01919	0.6462
Deinococcus xinjiangensis	0.8779	0.8708	0.01923	0.3692
Deinococcus aquiradiocola	0.8707	0.8709	0.01925	0.01039
Deinococcus wulumuqiensis	0.8788	0.8708	0.01922	0.4162
Deinococcus radiophilus	0.8634	0.8710	0.01923	0.3952
Deinococcus radiomollis	0.8704	0.8709	0.01925	0.02597
Deinococcus aerophilus	0.8698	0.8709	0.01925	0.05714
Deinococcus seoulensis	0.8906	0.8706	0.01909	1.048
Deinococcus geothermalis	0.8539	0.8711	0.01913	0.8991
Deinococcus grandis	0.8871	0.8706	0.01914	0.8621
Deinococcus papagonensis	0.8296	0.8715	0.01856	2.258
Deinococcus daejeonensis	0.8903	0.8706	0.01910	1.031
Deinococcus budaensis	0.8737	0.8708	0.01924	0.1507
Deinococcus aerius	0.8499	0.8712	0.01907	1.117
Deinococcus enclensis	0.8480	0.8712	0.01904	1.218
Deinococcus gobiensis	0.8808	0.8707	0.01921	0.5258
Deinococcus antarcticus	0.8599	0.8710	0.01920	0.5781
Deinococcus piscis	0.8602	0.8710	0.01920	0.5625
Deinococcus persicinus	0.8521	0.8712	0.01911	0.9995
Deinococcus radiodurans	0.8794	0.8707	0.01922	0.4527
Deinococcus pimensis	0.8363	0.8714	0.01876	1.871
Deinococcus reticulitermitis	0.8782	0.8708	0.01923	0.3848
Deinococcus marmoris	0.8806	0.8707	0.01921	0.5154
Deinococcus caeni	0.8796	0.8707	0.01922	0.4631
Deinococcus altitudinis	0.8664	0.8709	0.01924	0.2339
Deinococcus apachensis	0.8638	0.8710	0.01923	0.3744
Deinococcus phoenicis	0.8634	0.8710	0.01923	0.3952
