Bordetella holmesii	0.9743	0.9715	0.007046	0.3974
Bordetella muralis	0.9654	0.9722	0.006852	0.9924
Bordetella pseudohinzii	0.9818	0.9709	0.006461	1.687
Bordetella pertussis	0.9686	0.9719	0.007031	0.4694
Bordetella bronchialis	0.9750	0.9714	0.007022	0.5127
Bordetella tumbae	0.9641	0.9723	0.006742	1.216
Bordetella hinzii	0.9810	0.9710	0.00656	1.524
Bordetella petrii	0.9659	0.9721	0.006888	0.9001
Bordetella trematum	0.9757	0.9714	0.006992	0.6150
Bordetella parapertussis	0.9744	0.9715	0.007043	0.4118
Bordetella avium	0.9725	0.9716	0.007083	0.1271
Bordetella flabilis	0.9790	0.9711	0.006767	1.167
Bordetella sputigena	0.9691	0.9719	0.007047	0.3973
Bordetella bronchiseptica	0.9568	0.9728	0.005645	2.834
