Erythrobacter lutimaris	0.9311	0.9510	0.01146	1.736
Erythrobacter seohaensis	0.9537	0.9495	0.01244	0.3376
Erythrobacter pelagi	0.9467	0.9499	0.01246	0.2568
Erythrobacter litoralis	0.9462	0.9500	0.01245	0.3052
Erythrobacter marinus	0.9386	0.9505	0.01213	0.9810
Erythrobacter vulgaris	0.9590	0.9491	0.01224	0.8088
Erythrobacter gangjinensis	0.9402	0.9504	0.01223	0.8340
Erythrobacter citreus	0.9589	0.9491	0.01225	0.8
Erythrobacter nanhaisediminis	0.9589	0.9491	0.01225	0.8
Erythrobacter odishensis	0.9404	0.9503	0.01224	0.8088
Erythrobacter atlanticus	0.9425	0.9502	0.01234	0.6240
Erythrobacter luteus	0.9307	0.9510	0.01141	1.779
Erythrobacter longus	0.9617	0.9489	0.01207	1.060
Erythrobacter jejuensis	0.9468	0.9499	0.01247	0.2486
Erythrobacter gaetbuli	0.9714	0.9483	0.01107	2.087
Erythrobacter flavus	0.9688	0.9485	0.01141	1.779
