Idiomarina ramblicola	0.9230	0.9272	0.01323	0.3175
Idiomarina baltica	0.9295	0.9270	0.01324	0.1888
Idiomarina marina	0.9325	0.9268	0.01320	0.4318
Idiomarina maris	0.9023	0.9281	0.01221	2.113
Idiomarina tainanensis	0.9344	0.9268	0.01316	0.5775
Idiomarina atlantica	0.9264	0.9271	0.01325	0.05283
Idiomarina abyssalis	0.9302	0.9269	0.01324	0.2492
Idiomarina taiwanensis	0.9303	0.9269	0.01324	0.2568
Idiomarina maritima	0.9324	0.9269	0.01321	0.4164
Idiomarina seosinensis	0.9256	0.9271	0.01325	0.1132
Idiomarina indica	0.9147	0.9276	0.01300	0.9923
Idiomarina insulisalsae	0.9309	0.9269	0.01323	0.3023
Idiomarina loihiensis	0.9287	0.9270	0.01325	0.1283
Idiomarina tyrosinivorans	0.9171	0.9275	0.01309	0.7945
Idiomarina planktonica	0.9267	0.9271	0.01325	0.03019
Idiomarina donghaiensis	0.9361	0.9267	0.01312	0.7165
Idiomarina aquatica	0.9228	0.9273	0.01322	0.3404
Idiomarina aestuarii	0.9260	0.9271	0.01325	0.08302
Idiomarina fontislapidosi	0.9236	0.9272	0.01323	0.2721
Idiomarina sediminum	0.9221	0.9273	0.01321	0.3936
Idiomarina xiamenensis	0.9073	0.9279	0.01260	1.635
Idiomarina aquimaris	0.9301	0.9269	0.01324	0.2417
Idiomarina halophila	0.9233	0.9272	0.01323	0.2948
Idiomarina woesei	0.9227	0.9273	0.01322	0.3480
Idiomarina piscisalsi	0.9781	0.9249	0.007914	6.722
