Sphingobacterium ginsenosidimutans	0.9134	0.8926	0.01362	1.527
Sphingobacterium cladoniae	0.9124	0.8926	0.01366	1.449
Sphingobacterium caeni	0.9052	0.8928	0.01389	0.8927
Sphingobacterium alkalisoli	0.8966	0.8930	0.01401	0.2570
Sphingobacterium composti	0.9000	0.8930	0.01398	0.5007
Sphingobacterium suaedae	0.9043	0.8928	0.01391	0.8267
Sphingobacterium nematocida	0.9040	0.8928	0.01391	0.8052
Sphingobacterium thermophilum	0.8710	0.8937	0.01355	1.675
Sphingobacterium canadense	0.9088	0.8927	0.01379	1.168
Sphingobacterium pakistanense	0.9036	0.8929	0.01392	0.7687
Sphingobacterium mucilaginosum	0.8912	0.8932	0.01402	0.1427
Sphingobacterium alimentarium	0.8987	0.8930	0.01400	0.4071
Sphingobacterium kitahiroshimense	0.8984	0.8930	0.01400	0.3857
Sphingobacterium cellulitidis	0.9068	0.8928	0.01385	1.011
Sphingobacterium zeae	0.9022	0.8929	0.01395	0.6667
Sphingobacterium shayense	0.8929	0.8931	0.01403	0.01426
Sphingobacterium arenae	0.8504	0.8943	0.01214	3.616
Sphingobacterium wenxiniae	0.8836	0.8934	0.01394	0.7030
Sphingobacterium spiritivorum	0.8883	0.8933	0.01400	0.3571
Sphingobacterium bambusae	0.9003	0.8929	0.01398	0.5293
Sphingobacterium psychroaquaticum	0.9077	0.8927	0.01382	1.085
Sphingobacterium daejeonense	0.8980	0.8930	0.01400	0.3571
Sphingobacterium paludis	0.8922	0.8932	0.01403	0.07128
Sphingobacterium anhuiense	0.8922	0.8932	0.01403	0.07128
Sphingobacterium siyangense	0.9049	0.8928	0.01389	0.8711
Sphingobacterium detergens	0.9014	0.8929	0.01396	0.6089
Sphingobacterium populi	0.8828	0.8934	0.01392	0.7615
Sphingobacterium yanglingense	0.8997	0.8930	0.01398	0.4793
Sphingobacterium griseoflavum	0.8925	0.8931	0.01403	0.04277
Sphingobacterium faecium	0.8848	0.8934	0.01396	0.6160
Sphingobacterium gobiense	0.8610	0.8940	0.01299	2.540
Sphingobacterium kyonggiense	0.8934	0.8931	0.01403	0.02138
Sphingobacterium multivorum	0.9040	0.8928	0.01391	0.8052
Sphingobacterium cibi	0.8780	0.8935	0.01380	1.123
Sphingobacterium changzhouense	0.8851	0.8933	0.01396	0.5874
Sphingobacterium thalpophilum	0.8796	0.8935	0.01385	1.004
Sphingobacterium hotanense	0.8947	0.8931	0.01402	0.1141
Sphingobacterium jejuense	0.8689	0.8938	0.01345	1.851
Sphingobacterium chuzhouense	0.8791	0.8935	0.01384	1.040
