Actinomadura amylolytica	0.9341	0.9446	0.009942	1.056
Actinomadura napierensis	0.9566	0.9442	0.009907	1.252
Actinomadura scrupuli	0.9286	0.9447	0.009817	1.640
Actinomadura latina	0.9306	0.9447	0.009869	1.429
Actinomadura oligospora	0.9402	0.9445	0.01002	0.4291
Actinomadura syzygii	0.9528	0.9443	0.009974	0.8522
Actinomadura cremea subsp. cremea	0.9489	0.9444	0.01002	0.4491
Actinomadura yumaensis	0.9501	0.9443	0.01001	0.5794
Actinomadura citrea	0.9563	0.9442	0.009913	1.221
Actinomadura sporangiiformans	0.9566	0.9442	0.009907	1.252
Actinomadura viridilutea	0.9317	0.9447	0.009894	1.314
Actinomadura adrarensis	0.9484	0.9444	0.01002	0.3992
Actinomadura meridiana	0.9378	0.9446	0.009997	0.6802
Actinomadura echinospora	0.9410	0.9445	0.01002	0.3493
Actinomadura rugatobispora	0.9512	0.9443	0.009995	0.6903
Actinomadura nitritigenes	0.9549	0.9443	0.00994	1.066
Actinomadura xylanilytica	0.9500	0.9443	0.01001	0.5694
Actinomadura glauciflava	0.9587	0.9442	0.009858	1.471
Actinomadura catellatispora	0.9204	0.9448	0.009525	2.562
Actinomadura pelletieri	0.9404	0.9445	0.01002	0.4092
Actinomadura rifamycini	0.9382	0.9445	0.01000	0.63
Actinomadura viridis	0.9561	0.9442	0.009917	1.200
Actinomadura apis	0.9445	0.9444	0.01003	0.009970
Actinomadura formosensis	0.9541	0.9443	0.009954	0.9845
Actinomadura coerulea	0.9538	0.9443	0.009959	0.9539
Actinomadura sputi	0.9460	0.9444	0.01003	0.1595
Actinomadura sediminis	0.9510	0.9443	0.009997	0.6702
Actinomadura namibiensis	0.9438	0.9445	0.01003	0.06979
Actinomadura mexicana	0.9566	0.9442	0.009907	1.252
Actinomadura luteofluorescens	0.9500	0.9443	0.01001	0.5694
Actinomadura hibisca	0.9513	0.9443	0.009994	0.7004
Actinomadura bangladeshensis	0.9586	0.9442	0.009861	1.460
Actinomadura livida	0.9558	0.9442	0.009923	1.169
Actinomadura madurae	0.9573	0.9442	0.009891	1.324
Actinomadura meyerae	0.9480	0.9444	0.01002	0.3593
Actinomadura fulvescens	0.9478	0.9444	0.01002	0.3393
Actinomadura hallensis	0.9446	0.9444	0.01003	0.01994
Actinomadura geliboluensis	0.9543	0.9443	0.009951	1.005
Actinomadura fibrosa	0.9441	0.9444	0.01003	0.02991
Actinomadura keratinilytica	0.9422	0.9445	0.01003	0.2293
Actinomadura chibensis	0.9356	0.9446	0.009967	0.9030
Actinomadura umbrina	0.9275	0.9447	0.009785	1.758
Actinomadura montaniterrae	0.9561	0.9442	0.009917	1.200
Actinomadura verrucosospora	0.9437	0.9445	0.01003	0.07976
Actinomadura gamaensis	0.9431	0.9445	0.01003	0.1396
Actinomadura vinacea	0.9492	0.9444	0.01002	0.4790
Actinomadura macra	0.9393	0.9445	0.01001	0.5195
Actinomadura cellulosilytica	0.9300	0.9447	0.009854	1.492
Actinomadura atramentaria	0.9366	0.9446	0.009982	0.8014
Actinomadura jiaoheensis	0.9481	0.9444	0.01002	0.3693
Actinomadura kijaniata	0.9400	0.9445	0.01002	0.4491
Actinomadura rubrobrunea	0.9305	0.9447	0.009866	1.439
Actinomadura alba	0.9168	0.9449	0.009355	3.004
Actinomadura miaoliensis	0.9428	0.9445	0.01003	0.1695
Actinomadura flavalba	0.9291	0.9447	0.00983	1.587
Actinomadura chokoriensis	0.9463	0.9444	0.01003	0.1894
Actinomadura darangshiensis	0.9490	0.9444	0.01002	0.4591
Actinomadura rupiterrae	0.9309	0.9447	0.009876	1.397
Actinomadura rudentiformis	0.9359	0.9446	0.009972	0.8724
Actinomadura algeriensis	0.9485	0.9444	0.01002	0.4092
